"YEAR","FIPS","AV0AA","B78AA","AV1AA","AV1AB","AT5AA","AT5AB","AL8AA","AL8AB","AL8AC","AL8AD","AL8AE","AL8AF","AL8AG","AL8AH","AL9AA","AL9AB","AL9AC","AL9AD","AL9AE","AL9AF","AL9AG","AL9AH","AL9AI","AL9AJ","AK7AA","AK7AB","AK7AC","AK7AD","AK7AE","AK7AF","AB9AA","AB9AB","AB9AC","AB9AD","AB9AE","AB9AF","AB9AG","AB9AH","AB9AI","AB9AJ","AB9AK","AB9AL","AB9AM","AB9AN","AB9AO","AB9AP","AB9AQ","AB9AR","AB9AS","AB9AT","AB9AU","AB9AV","AB9AW","AB9AX","AB9AY","AJ6AA","AJ6AB","AJ6AC","AJ6AD","AJ6AE","AJ6AF","AJ6AG","AJ6AH","AJ6AI","AJ6AJ","AJ6AK","AJ6AL","AJ6AM","AJ6AN","AJ6AO","AJ6AP","AJ6AQ","AJ6AR","AJ6AS","AJ6AT","AJ6AU","AJ6AV","AJ6AW","AJ6AX","AJ6AY","AJ6AZ","AJ6BA","AJ6BB","AJ6BC","AJ6BD","B69AA","B69AB","B69AC","B84AA","B84AB","B84AC","B84AD","B84AE","B84AF","A63AA","A63AB","A63AC","A63AD","A63AE","A63AF","BS4AA","BS4AB","BS4AC","BS4AD","BS4AE","BS4AF","BS4AG","BS4AH","BS4AI","BS4AJ","BS4AK","BS4AL","A67AA","A67AB","A67AC","A67AD","A67AE","A67AF","A67AG","A67AH","A67AI","A67AJ","A67AK","A67AL","C54AA","C54AB","C54AC","C54AD","C54AE","C54AF","C54AG","C54AH","C54AI","C50AA","C50AB","C50AC","C50AD","C50AE","C50AF","C50AG","C50AH","C98AA","BS7AA","BS7AB","BS7AC","BS7AD","B79AA","A88AA","A88AB","A88AC","A88AD","A88AE","AB2AA","BD5AA","AX6AA","CL6AA","AX7AA","AX7AB","BV8AA","BV8AB"
"195",51037,12040,12040,5926,6114,11947,93,9007,2917,1279,208,1345,85,23,NA,9007,2917,1279,208,1345,85,23,2,0,21,0,68,6,0,19,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,0,0,0,0,19,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,0,0,0,0,19,NA,587,6944,918,5370,1,5369,5048,321,4261,114,487,909,1003,2304,553,2615,1,2614,2482,132,2087,2755,0,2755,2566,189,2174,43,193,517,521,1064,277,71,294,392,482,1240,276,4069,8,8,0,0,0,136,244,439,213,392,554,255,602,1172,531,738,146205,551,290,642,3178,40573,145,67,322,723,1677,57292,22018,11801,2798,2798,9003,453,2136
"2000",51540,45049,45049,21021,24028,41942,3107,24121,16983,6084,2576,6722,1601,838,NA,24121,16983,6084,2576,6722,1601,838,35,57,746,782,1395,213,56,661,0,5,6,166,14,49,116,28,19,27,3,33,24,19,238,35,428,41,926,213,56,14,181,122,344,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1624,11921,9323,21919,35,21884,20943,941,16987,1730,5026,5046,4252,5182,683,10499,22,10477,9952,525,7336,11420,13,11407,10991,416,9651,757,2248,2498,2091,2564,341,973,2778,2548,2161,2618,342,14258,1017,1006,11,0,19,3345,578,1106,769,4087,5755,4017,2271,1455,220,643,318375,2645,1475,2962,9779,31007,657,458,967,2186,3519,45110,16973,38353,9950,9950,28403,302,3900
"125",51540,43223,43223,20775,22448,37866,5357,20112,17017,5375,2782,7111,1749,737,NA,20112,17017,5375,2782,7111,1749,737,31,45,661,874,2881,469,29,1104,NA,0,0,280,17,28,70,41,12,19,0,0,10,7,227,323,692,59,1970,469,29,14,477,104,509,NA,8,0,0,0,280,17,28,70,41,0,12,19,0,0,10,29,7,4,215,294,692,59,1970,469,29,14,477,104,509,NA,1496,11367,11909,22601,103,22498,21061,1437,14964,937,4503,6422,3801,6007,931,11295,103,11192,10393,799,6501,11306,0,11306,10668,638,8463,567,1909,3330,1969,3022,498,370,2594,3092,1832,2985,433,14033,1800,1734,17,49,20,2592,1013,1168,387,3040,5456,5116,3123,1562,145,629,330025,2809,815,1662,12033,44535,408,223,446,1655,4529,63934,26049,40126,10946,10946,29180,307,3570
"195",51540,47096,47096,22788,24308,41334,5762,22797,17758,5352,2874,7354,2178,779,NA,22797,17758,5352,2874,7354,2178,779,31,21,727,943,2776,860,16,1167,NA,31,10,168,0,102,133,19,26,0,9,11,29,14,237,173,689,101,1967,860,16,87,422,118,540,NA,9,31,20,10,168,0,102,133,19,32,26,0,9,11,29,10,14,0,176,163,689,101,1967,860,16,87,422,118,540,NA,1135,12542,16679,26125,172,25953,24865,1088,14387,887,3331,8106,4920,7685,1196,12533,159,12374,11985,389,6918,13592,13,13579,12880,699,7469,276,1339,3996,2566,3789,567,611,1992,4110,2354,3896,629,16795,1790,1749,36,5,70,3340,1013,1737,667,4009,6088,5659,3306,2047,596,636,390130,2145,835,1456,14181,59471,424,258,379,1424,5982,89688,38328,44195,10645,10645,33550,535,4604
"2000",51550,199184,199184,96728,102456,193213,5971,109334,80524,23161,12020,37552,7791,3355,NA,109334,80524,23161,12020,37552,7791,3355,418,233,2704,1324,2667,165,24,1791,0,26,20,329,28,26,363,31,32,116,26,31,7,40,113,136,241,121,2305,165,24,34,270,333,1154,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5059,89496,30943,102470,6178,96292,92376,3916,46042,6008,9057,21843,31460,31861,2241,53404,5435,47969,46121,1848,17382,49066,743,48323,46255,2068,28660,3178,4508,11363,16228,16788,1339,2830,4549,10480,15232,15073,902,91596,768,734,34,0,86,1112,1115,2300,1818,6914,11292,15234,26825,23416,5321,3857,2374500,3976,3134,6702,56023,50743,2133,1584,4236,14993,31321,56302,20949,194880,14259,14259,180621,1524,15436
"125",51550,223233,223233,108598,114635,212539,10694,119653,89086,25022,14584,39777,9703,3800,NA,119653,89086,25022,14584,39777,9703,3800,593,130,3077,1649,4683,531,63,3768,NA,0,10,333,9,19,372,27,31,87,15,14,32,78,374,312,560,238,3821,531,63,64,1257,361,2086,NA,19,0,47,10,333,9,19,372,27,0,31,87,15,14,32,32,78,30,278,280,560,238,3821,531,63,64,1257,361,2086,NA,4200,99784,41229,120383,6246,114137,106570,7567,52539,6513,11420,23488,26178,48452,4332,62231,5311,56920,53076,3844,20924,58152,935,57217,53494,3723,31615,3314,6105,12192,13291,24787,2542,3199,5315,11296,12887,23665,1790,103631,1129,1106,23,0,43,1364,1481,3209,2084,8212,13479,17984,27469,27258,7232,3930,2621510,3363,2675,5386,67956,70244,1849,1153,2833,10047,43806,80394,30138,217332,18002,18002,199330,1795,21264
"195",51550,239982,239982,117267,122715,225838,14144,124021,96230,26694,16416,40169,12951,5587,NA,124021,96230,26694,16416,40169,12951,5587,1326,94,4167,2052,5355,882,49,5806,NA,122,0,475,58,27,409,74,0,106,14,28,0,115,266,368,595,220,4530,882,49,179,1117,228,4282,NA,25,122,10,0,475,58,27,409,74,11,0,106,14,28,0,18,115,37,183,350,595,220,4530,882,49,179,1117,228,4282,NA,3549,104095,53398,124124,7463,116661,111227,5434,64274,4758,12117,27875,26207,46951,6216,64612,6128,58484,55502,2982,26485,59512,1335,58177,55725,2452,37789,2390,6035,15173,13301,24314,3399,2368,6082,12702,12906,22637,2817,108475,627,627,0,0,197,1288,1288,4791,1380,6885,11613,16596,28374,30275,11510,5272,2982660,2977,2201,4954,74717,78640,1550,878,2796,9343,48676,90552,35536,233787,20024,20024,213763,1319,29090
"2000",51041,259903,259903,126588,133315,246380,13523,147772,95304,32847,14551,41670,6236,3304,NA,147772,95304,32847,14551,41670,6236,3304,466,112,2726,2956,5250,732,40,4545,0,46,18,982,48,153,836,42,108,142,19,7,32,92,308,130,605,113,4525,732,40,156,749,599,3041,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5705,106818,54514,140775,646,140129,135700,4429,54551,8786,9949,28018,41023,49945,3054,74203,494,73709,71394,2315,19508,66572,152,66420,64306,2114,35043,4495,5255,14592,21213,26841,1807,4291,4694,13426,19810,23104,1247,128032,302,235,47,20,39,1015,777,4148,1918,8136,14335,19064,35478,36779,9126,5329,3401350,2915,2767,6945,81180,58537,1486,1307,3868,16998,48824,65058,25286,255117,11586,11586,243531,690,19371
"125",51041,316895,316895,152721,164174,291629,25266,175422,111585,40347,17207,45247,8784,4622,NA,175422,111585,40347,17207,45247,8784,4622,860,327,3435,3473,8397,1333,65,11998,NA,135,27,1154,14,298,805,47,38,93,36,54,0,239,296,256,1133,234,7011,1333,65,148,2242,467,9141,NA,64,135,27,27,1154,14,298,805,47,24,38,93,36,54,0,0,239,28,153,256,1133,234,7011,1333,65,148,2242,467,9141,NA,7878,124085,75504,170855,1054,169801,158040,11761,74386,7711,13969,32679,40147,70222,6127,87215,841,86374,80252,6122,28846,83640,213,83427,77788,5639,45540,3711,7184,16602,20675,35469,3574,4000,6785,16077,19472,34753,2553,145684,1223,1158,39,26,9,810,921,7306,2395,8757,16150,22918,43854,41684,7066,5823,3782000,3446,2691,6657,100296,72363,1509,1330,3318,13549,63718,84465,32527,311911,19926,19926,291985,1393,31626
"195",51041,343551,343551,165585,177966,313847,29704,190678,117596,40732,18133,48690,10041,5573,NA,190678,117596,40732,18133,48690,10041,5573,1320,346,3907,3103,9443,1779,44,15335,NA,59,62,830,0,29,682,78,15,86,38,60,46,118,662,410,882,321,8168,1779,44,387,2185,602,12161,NA,0,59,40,62,830,0,29,682,78,14,15,86,38,60,46,0,118,284,324,410,882,321,8168,1779,44,387,2185,602,12161,NA,7538,129999,93507,186107,1073,185034,175948,9086,85678,8779,16840,35060,39510,74966,10952,95301,931,94370,89733,4637,33246,90806,142,90664,86215,4449,52432,4150,8271,18130,20420,38297,6033,4629,8569,16930,19090,36669,4919,160175,672,567,48,57,304,1224,2164,9230,2137,8054,16991,21646,49678,48303,10231,7520,4376600,3273,2683,5838,113177,82599,1715,904,2551,13164,72848,95718,37658,339423,23060,23060,316363,2520,46687
"2000",51043,12652,12652,6261,6391,12340,312,7307,4949,1432,669,2464,384,84,NA,7307,4949,1432,669,2464,384,84,0,3,81,122,57,18,9,106,0,0,0,54,8,0,28,5,0,5,0,0,0,0,22,0,29,7,21,18,9,0,54,17,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,6203,2156,6712,9,6703,6563,140,3290,274,328,1153,2007,2597,353,3625,3,3622,3574,48,1229,3087,6,3081,2989,92,2061,133,209,573,1062,1437,211,141,119,580,945,1160,142,5741,31,11,20,0,0,303,59,378,357,408,570,569,1381,1109,764,976,198530,336,161,480,3973,51601,118,71,232,881,2219,59750,24844,12336,811,811,11525,193,1549
"125",51043,14143,14143,7009,7134,13616,527,7186,6267,1630,764,3283,590,163,NA,7186,6267,1630,764,3283,590,163,0,0,163,178,87,31,0,231,NA,0,0,106,0,20,13,0,0,0,0,0,0,0,39,0,6,0,81,31,0,7,32,11,181,NA,0,0,0,0,106,0,20,13,0,0,0,0,0,0,0,0,0,0,39,0,6,0,81,31,0,7,32,11,181,NA,321,6625,3144,7530,6,7524,7078,446,3787,257,530,1154,1566,3697,326,4050,6,4044,3729,315,1501,3480,0,3480,3349,131,2286,79,327,576,789,2054,225,178,203,578,777,1643,101,6542,36,21,0,15,0,138,53,229,111,444,344,671,1328,1514,726,1631,249745,239,174,271,4896,80186,104,80,83,546,3256,92047,38121,13823,1091,1091,12732,165,2055
"195",51043,14423,14423,7321,7102,13911,512,7690,6067,1987,599,2816,665,154,NA,7690,6067,1987,599,2816,665,154,14,13,127,116,116,6,0,274,NA,0,0,21,0,0,36,11,0,0,0,0,0,33,11,4,53,0,63,6,0,29,95,3,147,NA,0,0,0,0,21,0,0,36,11,0,0,0,0,0,0,0,33,0,11,4,53,0,63,6,0,29,95,3,147,NA,501,6525,3332,7525,0,7525,7193,332,4296,255,620,1033,1324,3669,624,4085,0,4085,3875,210,1829,3440,0,3440,3318,122,2467,160,387,572,691,1983,292,95,233,461,633,1686,332,6399,37,34,0,3,0,108,60,478,185,548,370,465,1146,1501,861,1528,251285,331,145,302,4834,80026,54,32,115,622,3072,102986,41332,14176,1080,1080,13096,161,2720
"2000",51560,4289,4289,1892,2397,4278,11,3381,878,167,131,555,25,19,NA,3381,878,167,131,555,25,19,6,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,2418,299,1832,5,1827,1693,134,1678,143,141,372,452,655,69,900,5,895,838,57,605,932,0,932,855,77,1073,69,83,182,211,327,28,74,58,190,241,328,41,1504,0,0,0,0,0,103,7,43,133,262,369,241,194,122,117,176,38195,286,212,404,936,26090,112,104,221,402,292,31509,15182,4048,786,786,3262,91,773
"125",51560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",51560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000",51570,16897,16897,7901,8996,16061,836,10749,5073,1346,750,2554,423,239,NA,10749,5073,1346,750,2554,423,239,19,9,211,292,323,88,10,123,0,0,0,65,19,10,95,0,0,31,0,0,5,5,44,18,59,7,257,88,10,17,47,5,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,8949,2214,8496,96,8400,8207,193,5041,492,858,1675,2133,3002,336,4606,82,4524,4388,136,1515,3890,14,3876,3819,57,3526,276,474,893,1109,1613,241,216,384,782,1024,1389,95,7834,0,0,0,0,8,98,35,105,202,1045,1436,1660,1699,1187,529,217,165420,338,304,871,5524,43224,93,79,457,1612,2530,51806,23659,16542,913,913,15629,124,2799
"125",51570,17426,17426,8103,9323,16509,917,10680,5411,1507,1037,2472,395,418,NA,10680,5411,1507,1037,2472,395,418,103,0,315,181,427,134,0,175,NA,0,0,48,5,10,91,0,11,16,0,0,0,0,0,0,90,12,325,134,0,0,69,0,106,NA,0,0,0,0,48,5,10,91,0,0,11,16,0,0,0,0,0,0,0,0,90,12,325,134,0,0,69,0,106,NA,434,9198,2292,8944,44,8900,8233,667,5135,594,821,1663,1838,3534,494,4439,30,4409,4108,301,1960,4505,14,4491,4125,366,3175,257,471,866,894,1739,212,337,350,797,944,1795,282,7716,0,0,0,0,0,79,116,277,218,953,1536,1381,1960,1228,401,234,172370,190,265,635,5914,51612,94,56,199,1240,2897,66551,27420,17193,1251,1251,15942,149,3073
"195",51570,17428,17428,8060,9368,16152,1276,10663,5103,1431,744,2236,692,386,NA,10663,5103,1431,744,2236,692,386,82,0,304,320,559,229,0,168,NA,0,0,78,0,0,123,0,26,15,0,0,0,0,78,0,90,47,422,229,0,14,0,12,142,NA,0,0,0,0,78,0,0,123,0,16,26,15,0,0,0,0,0,5,57,0,90,47,422,229,0,14,0,12,142,NA,421,8591,3082,8480,27,8453,7768,685,5349,359,741,1878,1905,3179,418,4261,27,4234,3926,308,1956,4219,0,4219,3842,377,3393,162,406,843,987,1594,269,197,335,1035,918,1585,149,7061,70,70,0,0,0,192,162,103,221,879,1013,1189,1616,1687,557,323,181615,560,222,691,5563,54550,243,74,250,985,2892,73441,28364,17206,2083,2083,15123,193,3265
"2000",51580,6303,6303,3013,3290,6155,148,4947,1197,184,123,805,85,11,NA,4947,1197,184,123,805,85,11,0,0,11,6,25,12,0,105,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25,12,0,0,0,7,98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,3764,286,2831,0,2831,2696,135,2257,109,275,729,695,898,125,1530,0,1530,1471,59,848,1301,0,1301,1225,76,1409,64,174,386,371,480,55,45,101,343,324,418,70,2397,3,3,0,0,5,84,44,107,208,727,537,345,270,154,67,225,48760,375,255,531,1674,30325,147,92,317,655,557,36640,16758,6251,806,806,5445,117,1172
"125",51580,5903,5903,2983,2920,5831,72,4497,1315,173,124,882,136,19,NA,4497,1315,173,124,882,136,19,0,9,10,0,24,11,0,37,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,0,0,0,0,37,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,0,0,0,0,37,NA,356,3363,344,2556,0,2556,2423,133,2212,144,263,416,573,1082,78,1360,0,1360,1285,75,1008,1196,0,1196,1138,58,1204,63,148,211,301,606,31,81,115,205,272,476,47,2201,10,10,0,0,0,50,7,72,174,460,539,253,335,191,141,175,50505,214,261,410,1699,36067,119,37,144,456,655,47618,20055,5839,1241,1241,4598,74,1030
"195",51580,5598,5598,2680,2918,5410,188,4037,1312,238,81,812,181,61,NA,4037,1312,238,81,812,181,61,0,0,61,6,51,0,0,131,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,27,0,0,0,0,0,131,NA,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,27,0,0,0,0,0,131,NA,117,3246,621,2636,0,2636,2554,82,1918,67,272,571,537,1053,136,1329,0,1329,1290,39,847,1307,0,1307,1264,43,1071,18,120,320,239,583,49,49,152,251,298,470,87,2390,0,0,0,0,0,51,17,60,275,605,627,279,208,245,106,113,40515,135,162,324,1763,40655,88,49,103,447,773,57614,25309,5476,722,722,4754,116,1015
"2000",51045,5091,5091,2588,2503,5075,16,3949,1112,157,219,652,84,14,NA,3949,1112,157,219,652,84,14,0,0,14,8,8,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,2871,385,2443,0,2443,2375,68,1555,95,216,484,751,846,51,1395,0,1395,1338,57,635,1048,0,1048,1037,11,920,53,122,294,418,468,40,42,94,190,333,378,11,2226,0,0,0,0,0,38,21,55,45,162,94,140,182,911,564,187,79330,146,168,365,1384,37314,32,107,235,619,517,41750,17322,5069,520,520,4549,73,623
"125",51045,5186,5186,2488,2698,5170,16,3838,1283,257,167,683,176,49,NA,3838,1283,257,167,683,176,49,0,0,49,16,0,0,0,0,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,NA,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,181,3010,525,2580,0,2580,2469,111,1561,176,160,385,556,1187,116,1204,0,1204,1171,33,702,1376,0,1376,1298,78,859,35,48,127,341,621,32,141,112,258,215,566,84,2342,1,1,0,0,0,35,12,61,176,262,116,125,211,750,476,274,76135,44,96,209,1724,47691,38,12,164,467,817,52969,21826,5150,427,427,4723,77,764
"195",51045,5110,5110,2378,2732,5098,12,3829,1269,211,178,772,108,0,NA,3829,1269,211,178,772,108,0,0,0,0,0,0,0,0,12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,NA,202,2680,892,2462,0,2462,2415,47,1772,52,341,502,345,1153,69,1245,0,1245,1198,47,724,1217,0,1217,1217,0,1048,0,172,298,163,558,54,52,169,204,182,595,15,2275,0,0,0,0,0,5,0,55,40,202,71,63,265,847,644,148,77215,174,120,165,1838,55708,45,0,29,326,1039,78787,30103,5094,451,451,4643,62,1026
"2000",51047,34262,34262,17411,16851,33069,1193,22257,10566,3151,1478,5010,927,246,NA,22257,10566,3151,1478,5010,927,246,7,37,202,227,275,6,0,685,0,15,6,83,19,9,50,22,0,15,0,0,0,0,8,0,9,0,266,6,0,17,471,17,180,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2345,16727,3556,16832,7,16825,16285,540,9711,932,1433,3623,4830,5412,602,9272,7,9265,8970,295,4277,7560,0,7560,7315,245,5434,511,742,2023,2628,3009,359,421,691,1600,2202,2403,243,14836,129,107,14,8,0,365,139,573,476,1584,2101,1869,2365,2104,1166,3804,586705,760,690,1567,9134,45290,336,392,911,2698,4691,51475,20162,32539,2983,2983,29556,341,3613
"125",51047,46894,46894,23600,23294,43600,3294,27833,14968,4815,2114,6501,1538,799,NA,27833,14968,4815,2114,6501,1538,799,126,67,606,427,531,199,0,2137,NA,0,0,155,0,0,250,5,0,0,0,0,0,0,17,0,87,0,444,199,0,0,1028,35,1074,NA,0,0,17,0,155,0,0,250,5,0,0,0,0,0,0,0,0,0,0,0,87,0,444,199,0,0,1028,35,1074,NA,2117,22195,6976,23331,32,23299,21775,1524,12981,882,1945,4467,5591,9517,929,12515,32,12483,11629,854,5874,10816,0,10816,10146,670,7107,487,1114,2351,2972,5057,534,395,831,2116,2619,4460,395,19430,92,76,0,16,0,290,287,1083,725,1769,3191,2328,2693,2777,2103,4513,695625,475,743,1270,13338,65567,202,325,815,2151,8348,77907,27255,45069,3784,3784,41285,226,5253
"195",51047,51101,51101,25557,25544,46597,4504,29629,16297,5008,2789,6792,1708,671,NA,29629,16297,5008,2789,6792,1708,671,195,8,468,491,597,644,14,2758,NA,0,11,63,0,11,173,0,9,0,90,14,0,12,50,67,110,57,421,644,14,42,710,47,1959,NA,9,0,0,11,63,0,11,173,0,0,9,0,90,14,0,0,12,23,18,67,110,57,421,644,14,42,710,47,1959,NA,1576,23926,8844,25948,49,25899,24567,1332,14096,1492,2439,4745,5617,10232,1423,13571,49,13522,12695,827,6501,12377,0,12377,11872,505,7595,787,1251,2352,3046,5291,844,705,1188,2393,2571,4941,579,22090,188,116,10,62,0,308,332,1062,678,1950,3663,2659,2654,2667,2409,6238,876370,695,526,1095,14755,77935,132,149,555,2165,9649,89760,32028,49323,3843,3843,45480,524,7282
"2000",51049,9017,9017,4295,4722,8899,118,6842,1973,847,169,878,79,84,NA,6842,1973,847,169,878,79,84,4,0,80,17,24,7,0,70,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,24,7,0,23,18,0,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,883,4568,732,4189,0,4189,4044,145,2834,184,318,1002,1116,1365,204,2176,0,2176,2113,63,1131,2013,0,2013,1931,82,1703,87,134,533,576,737,109,97,184,469,540,628,95,3724,4,4,0,0,6,54,103,65,162,333,299,421,578,679,573,846,143435,445,329,561,2177,31816,156,234,351,890,851,37965,15103,8997,1360,1360,7637,216,1124
"125",51049,9951,9951,4959,4992,9829,122,7243,2518,1156,149,1093,120,68,NA,7243,2518,1156,149,1093,120,68,0,0,68,0,0,0,0,122,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,120,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,120,NA,705,4956,1000,4756,0,4756,4324,432,3170,107,684,600,1152,1907,306,2567,0,2567,2218,349,1325,2189,0,2189,2106,83,1845,52,407,341,582,961,224,55,277,259,570,946,82,3836,0,0,0,0,1,34,122,211,124,250,433,416,619,963,393,795,137820,330,230,523,2933,43137,90,63,269,882,1408,53326,22337,9925,1433,1433,8492,209,1445
"195",51049,9824,9824,4847,4977,9724,100,7182,2446,992,245,901,308,96,NA,7182,2446,992,245,901,308,96,2,0,94,65,35,0,0,0,NA,0,0,0,0,0,8,0,0,0,0,0,0,0,57,0,0,0,35,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,57,0,0,0,35,0,0,0,0,0,0,NA,514,5534,1057,5126,10,5116,4878,238,3076,219,508,946,913,2219,321,2763,10,2753,2615,138,1157,2363,0,2363,2263,100,1919,182,194,530,429,1282,146,37,314,416,484,937,175,4342,4,4,0,0,0,0,94,311,112,212,475,260,518,609,668,1586,198780,336,288,361,2990,47469,194,52,170,638,1537,59620,25138,9749,1738,1738,8011,411,1740
"2000",51590,48411,48411,22024,26387,47711,700,37262,10222,2211,821,6719,471,227,NA,37262,10222,2211,821,6719,471,227,10,9,208,150,199,59,0,292,0,0,0,32,0,9,38,0,0,15,0,0,0,0,46,10,6,20,173,59,0,14,168,14,96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3987,24602,4607,21895,27,21868,19668,2200,16493,1350,2136,4228,5461,7575,1145,10530,27,10503,9503,1000,6311,11365,0,11365,10165,1200,10182,625,939,2058,2507,3820,581,725,1197,2170,2954,3755,564,18016,358,358,0,0,36,381,200,271,706,3012,5090,4261,2791,1564,697,870,354465,3511,2089,4027,10981,26900,1419,940,2024,4324,4268,36024,17151,46931,9369,9369,37562,1115,7946
